"name","基本武器","部位","短命","ASSASSIN HONED","BALANCED","破滅","BATTLE LUST","BERSERK","吸血","BONE BREAKER","補強不可","詠唱集中","CHAOS DAMAGE","CRAFT BONUS","CRAFT EXCEPTIONAL BONUS","CURSED","CURSE REMOVAL","物理","炎","冷気","毒","エネルギー","HP変換","HP変換(物理)","HP変換(炎)","HP変換(冷気)","HP変換(毒)","HP変換(エネルギー)","武器ダメージ","ダメージ修正","回避","DEX","DURABILITY BONUS","POT強化","CR","FC","FOCUS","炎エリア","冷気エリア","毒エリア","エネルギーエリア","命中","Curse","Dispel","STMダウン","Fireball","Harm","HPリーチ","Lightning","命中低下","回避低下","Magic Arrow","Mana Drain","MPリーチ","HP","HP回復","STMリーチ","INT","LAST PARRY CHANCE","矢弾コスト","MPコスト","秘薬コスト","装備条件","幸運","瞑想可","魔道武器","MP","MANA PHASE","MP回復","MASSIVE","NIGHT SIGHT","PRIZED","RANDOM PROTECTION","RANDOM KILLER","RANDOM SUMMONER","麻痺カウンター","物理ダメージ反射","REPLENISH CHARGES","物理抵抗","炎抵抗","冷気抵抗","毒抵抗","エネルギー抵抗","RESONANCE","SEARING","自己修復","SOUL CHARGE","SPARKS","詠唱可","呪文ダメージ","詠唱集中","破片残留","STM","STM回復","STR","SWARM","速度増","TOXIC WEAPON","UNWIELDY","ベスト","VELOCITY","WARD REMOVAL","重量軽減","WILDFIRE REMOVAL","耐久性","装備STR","基礎ダメージ","基礎速度","基礎重量","片手","両手","基礎スキル","射程","ガゴ専","CRAFT","SPM 70","SPM 90","AXE","除外","略","date","url","urlImage","備考",,,,,,,,,,,,,
"Coffin (one of three pieces)",,"他",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/coffin_bottom.gif","[]",,,,,,,,,,,,,
"Creeping Vine",,"装飾",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/creepingvine1.gif","[]",,,,,,,,,,,,,
"Mana Phasing Orb",,"タリスマン",,,,,,,,,"*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75/75",,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/manaorb.gif","[USES: 50","random 3 groups","GROUP 1 – HIT POINT REGENERATION 1 MANA REGENERATION 1 OR STAMINA REGENERATION 1","GROUP 2 – HIT CHANCE INCREASE 5% OR DEFENSE CHANCE INCREASE 5%","GROUP 3 – LOWER REAGENT COST 10% DAMAGE INCREASE 15% OR SPELL DAMAGE INCREASE 5%","]",,,,,,,,
"Master Skeleton Key",,"他",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/master-key.gif","[]",,,,,,,,,,,,,
"Runed Sash of Warding (Spell Damage Ward)",,"上半身L3",,,,,,,,,"*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75/75","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/sash_of_might.gif","[USES: 50]",,,,,,,,,,,,,
"Runed Sash of Warding (Weapon Damage Ward)",,"上半身L3",,,,,,,,,"*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75/75","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/sash_of_might.gif","[USES: 50]",,,,,,,,,,,,,
"Skeleton Key",,"他",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/skeleton_key.gif","[","CAN BE COMBINED TOGETHER TO A TOTAL OF 100 USES]",,,,,,,,,,,,
"Surge Shield",,"手持ち右",,,,,,,,,"*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"75/75","35",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/","http://www.uo.com/wp-content/uploads/2015/09/surgeshield.gif","[USES: 50","random 4 groups","GROUP 1 – HIT POINT REGENERATION MANA REGENERATION OR STAMINA REGENERATION (THE SURGE PROPERTY)","GROUP 2 – HIT CHANCE INCREASE 5% OR LOWER MANA COST 4%","GROUP 3 – FASTER CASTING 1 OR SPELL CHANNELING","GROUP 4 – +5% A RANDOM RESIST*","*THIS CAN STACK WITH THE FIXED 1% COLD RESIST.","SURGE SHIELDS FROM TER MUR MAPS ARE A GARGOYLE VERSION.]",,,,,,
"Ægis",,"手持ち右",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,"15",,"15","1",,,,,,"5",,,,,,,,,,,,,,,,,,,"255/255","90",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/aegis.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"An Artifact Recipe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wiki/ultima-online-wiki/items/artifacts-craftable-major/","[EXCEPTION]",,,,,,,,,,,,,
